presentation_id,ingredient,dosage_form,container,application_holder,application_number,determination,confidence,contradicted,document_date,evidence_source_ids,evidence_quote_or_basis,falsifier,model_effect,human_action_id
sodium_bicarbonate_8_4_50ml,sodium bicarbonate 8.4% (50 mEq per 50 mL),"injection, solution","single-dose glass vial, 50 mL","Hospira; Exela; Civica; Amneal; Fresenius Kabi; Glenmark; Milla (9 applications, 12 manufacturer labels)",ANDA 202432; ANDA 202494; ANDA 202981; ANDA 211091; ANDA 216042; ANDA 217523; ANDA 206688; ANDA 219701; ANDA 219089,unknown,unknown,no,no determination-bearing document exists for this row. Corpus dates: S18 SPL index frozen 2026-09-01; manufacturer SPL XML fetched 2026-09-06; S16 Drugs@FDA snapshot 2026-09-01; RS4-S04 warning letter 2025-08-27; RS4-S05 register search 2026-09-06,E01-S02; E01-S03; E01-S05; S16; S17; S18; F11-S31; E03-S07; RS4-S04; RS4-S05,"No route statement in any of 12 vial labels across 9 applications; evidence_01 section 6 row 1. No published chemistry or product-quality review exists for any of the nine: S16 ApplicationDocs carries no Review-type row for any of them, and FDA publishes no chemistry review for an ANDA. Lead only, not evidence for a category (tier E7, registration and listing metadata): Amneal ANDA 217523 registers the SPL business operation STERILIZE (NCI C84382) at DUNS 675474666 against NDC 80830-2305, with neither modality nor stage named. Class-level counter-signal at tier E6: autoclaving at 121 C produced sodium dawsonite from aluminium leached out of the glass vial [F11-S31], and the one process patent found ballasts the chamber with CO2 at 0.1 to 0.22 MPa to hold the equilibrium [E03-S07]. Two negatives, both weaker than previously written. (a) No MHRA-GMDP certificate was surfaced for Amneal Pharmaceuticals Private Limited on 2026-09-06 and the search was re-run on 2026-09-06 with the same result [RS4-S05]; the site-name URL parameter does not filter, so this means not surfaced by search, not absent from the register. (b) The FDA warning letter [RS4-S04] names 'Amneal Pharmaceuticals Private Limited, FEI 3018907202, located at 506 Survey No., near Sachana Kalyanpura Road Palli, Gujarat, India' and contains zero matches for steriliz, aseptic or autoclav (re-fetched 2026-09-06). Nothing in this screen ties FEI 3018907202 to DUNS 675474666 or to NDC 80830-2305, so the letter is a firm-level null and not a site-level negative about the establishment carrying the lead.","An E1 or E2 source naming a route for any one of these nine applications closes the row at established. A showing that the Amneal STERILIZE operation is component or container sterilization removes the lead without changing the determination. A UK or EU GMP certificate for the Amneal establishment named on the label, whose sterile-product scope carries 1.1.2 Terminally Sterilised and no 1.1.1 Aseptically prepared, would lift the row to weakly_inferred when joined to the STERILIZE registration; it cannot reach strongly_inferred on those two lines alone, because they share the premise that every sterile product at the site takes the certified route. A document tying FEI 3018907202 to DUNS 675474666 would make RS4-S04 a site-level rather than firm-level null.","None today. ProductFeatures.sterilization_route stays unset for the study's primary product config, sterility_incubation_days stays 14/14/18, and release_assurance.conventional_release_days stays 16 days at base. If confirmed terminal AND parametric release were approved, the base pole would fall to max(EM 7, bioburden, assay 5, endotoxin 2) + QA 2 = 9 days, a 7-day reduction, conditional on the unmeasured per-batch bioburden component being 7 days or less. The 16-day base includes a tier-5 illustrative serial QA term, so that arithmetic is not a finding.",HA-34
norepinephrine_1mgml_4ml,norepinephrine bitartrate 1 mg/mL (4 mg in 4 mL),"injection, solution","single-dose amber glass vial, 4 mL","Hospira; Baxter; Gland; Sagent; Sandoz; Civica; Mylan; Amneal; Hikma; Sun; Caplin; Avenacy (9 applications, 12 manufacturer labels)",NDA 007513; ANDA 214323; ANDA 211359; ANDA 211242; ANDA 210839; ANDA 203662; ANDA 211980; ANDA 217575; ANDA 219924,unknown,unknown,no,"no determination-bearing document exists for this row. Nearest dated documents: FDA approval package 007513Orig1s038 (S16 Review row dated 2024-11-05, approval date 2020-06-15); NDA 214313 Cross-Discipline Team Leader Review, 2021; US11197838B2 granted 2021-12-14. Corpus fetched 2026-09-06",E01-S02; E01-S03; E01-S05; E01-S06; F11-S32; F11-S33; E03-S06; S16; S17; S18,"No route statement in any of 12 vial labels across 9 applications. No STERILIZE operation is registered on any of the 14 norepinephrine SPLs in the corpus, premix bags included. Correction to an earlier reading of this row: S16 does carry a Review-type row for NDA 007513, ApplicationDocs date 2024-11-05, resolving to accessdata.fda.gov/drugsatfda_docs/nda/2024/007513Orig1s038.pdf (fetched 2026-09-06, 2,396,346 bytes). It is the approval package for LEVOPHED, Hospira, approval date 2020-06-15. Its contents page marks only 'Approval Letter X' and 'Labeling X', with 'Product Quality Review(s)' unmarked, and its extracted text contains zero matches for steriliz, aseptic, autoclav, terminal or parametric. So a Review-type row exists and no published chemistry or product-quality review does. Class-level signals point both ways and neither is a statement about this vial. Baxter describes its own premix platform as aseptic-fill [F11-S33]. Sun Pharma's US11197838B2 is granted; its claim 1 reads verbatim 'A ready to infuse stable parenteral dosage form consisting essentially of: a. norepinephrine or its pharmaceutically acceptable salt at a concentration ranging from 10 to 75 micrograms/ml of norepinephrine base; b. at least one sulfite antioxidant; c. at least one ion chelator; and d. sodium chloride, wherein the dosage form is an aqueous solution and was terminally sterilized by autoclaving' [F11-S32, patents.google.com/patent/US11197838B2/en, fetched 2026-09-06]. The sentence 'an infusion container filled with an aqueous solution of norepinephrine ... wherein the said solution is stable and can be terminally sterilized by autoclaving' is from the summary of the invention, not from any granted claim; an earlier version of this row mislabelled it. The claimed range of 10 to 75 micrograms/mL is an infusion concentration, which strengthens rather than weakens the point that the patent does not speak to the 1 mg/mL vial. The same family's background states that no terminally sterilized ready-to-infuse norepinephrine had been reported [E03-S06].","Any E1 or E2 source for one holder closes that holder pair only; method.md section 5 item 1 forbids transferring it to the other eight. The Sun patent alone can never overturn an aseptic determination (method.md rule 5), and its oxygen-exclusion architecture is a bag-and-overwrap system this vial does not have.","None. This is the study's resolved and recurrent comparator; its route stays unset and the 14-day pole stays a constant for it. No parametric branch is evidenced anywhere in this molecule's US public record: the only published review, NDA 214313 (2021), states release against a completed USP <71> test, and the remaining eight applications have no published review channel. That is an absence of evidence at population level, not evidence of absence, and method.md rule 3 forbids reading it as the latter.",HA-34
furosemide_10mgml_vial__anda202747,furosemide 10 mg/mL,"injection, solution","single-dose glass vial. One row covers the 2, 4 and 10 mL fills as one declared autoclave-load family (see the exception clause in the evidence field), NDCs 36000-063/-064/-065/-282/-283/-284 and Civica 72572-190","Baxter Healthcare Corporation, and Civica, Inc. labelling under the same application",ANDA 202747,terminally_sterilized_moist_heat,weakly_inferred,yes,"MHRA certificate UK GMP 44139 issued 2024-03-18 on the inspection of 2024-02-05; FDA Warning Letter CMS 654136 dated 2023-07-25 and Form FDA 483 issued 2023-01-27 on the inspection of 2023-01-19 to 2023-01-27; Baxter SPL setid c71371a7-75c5-45b8-b762-8d782d4c71bc, version 23, effective 2025-06-30",E01-S05; RS4-S01; RS4-S02; RS5-S01; E01-S02,"DOWNGRADED 2026-09-06 from strongly_inferred to weakly_inferred, for two independent reasons, and the contradicted flag is set. This is the only terminal determination on the longlist and it is now an inferred lead, not a settled fact. Reason 1, the independence claim does not survive the screen's own rules. Line 1 is SPL establishment registration: the SPL binds the business operations ANALYSIS, STERILIZE (NCI C84382), LABEL, MANUFACTURE and PACK to BAXTER PHARMACEUTICALS INDIA PRIVATE LIMITED, DUNS 918603338, against all six Baxter NDCs and Civica's 72572-190 [E01-S05]. evidence_01 section 4 rules that this class 'does not discriminate between any two of the method's five categories, and on its own it cannot reach even weakly_inferred for a category' and is 'a lead-generation instrument, not an evidence tier'. It is now tier E7 in method.md section 3, ceiling unknown, leads only. It therefore contributes a lead, not a line. Lines 2 and 3 are both site-scope and neither names furosemide, so both reach this presentation only through one unstated and unverified bridging premise: that every sterile product made at Chacharwadi-Vasana takes the certified route. Under method.md rule 1 lines tracing to one underlying argument are not independent, which is the definition of weakly_inferred. Line 2, UK inspectorate certificate, re-fetched and re-verified 2026-09-06: MHRA Certificate of GMP Compliance UK GMP 44139 Insp GMP 20752/13875-0015[H], site 'BAXTER PHARMACEUTICALS INDIA PRIVATE LIMITED, CHACHARWADI-VASANA, AHMEDABAD, IN 382213, INDIA', inspection 05/02/2024, issued 18/03/2024, whose sterile-products scope reads '[ 1.1.2 ] Terminally Sterilised (processing operations for the following dosage forms) / [ 1.1.2.1 ] Large volume liquids / [ 1.1.2.3 ] Small volume liquids / [ 1.1.2.5 ] Other terminally sterilised prepared products Emulsions', with '[ 1.4.2 ] Sterilisation of active substances/excipients/finished products: / [ 1.4.2.1 ] Filtration / [ 1.4.2.3 ] Moist heat', no [ 1.1.1 ] Aseptically prepared entry and no Restrictions or Clarifying remarks [RS4-S01]. Unresolved counter-signal inside line 2, previously quoted and never addressed: the finished-product sterilisation scope carries [ 1.4.2.1 ] Filtration alongside [ 1.4.2.3 ] Moist heat, and filtration is the sterilising step of an aseptic process. The certificate's own preamble states it was 'issued following an inspection ... in connection with marketing authorisation(s) listing manufacturers located outside of the European Economic Area', so its scope is the operations inspected for UK and EEA supply and is not asserted to enumerate the site's US-market operations. Line 3, FDA document of record: Warning Letter to Baxter Healthcare Corporation, CMS 654136, 2023-07-25, on the 2023-01-19 to 2023-01-27 inspection of 'Baxter Pharmaceuticals India Pvt. Ltd., 3004610460, at Village Vasana Chacharwadi, Taluka Sanand, Ahmedabad, India', stating 'Equipment used in the manufacture of terminally sterilized drugs at your facility is not designed or maintained appropriately.' [RS4-S02]. The word aseptic appears nowhere in that letter. Reason 2, a primary counter-signal from the same inspection that this screen had not read. The Form FDA 483 for that inspection [RS5-S01] is the document the warning letter sentence summarises, and it says, Observation 4 item 1, page 10 of 19, verbatim: 'The filling rooms and capping rooms for both the [(b)(4)] and [(b)(4)] filling lines used for US market product are not designed to permit operators to move freely to the required areas.' And Observation 4 item 3, page 11 of 19, verbatim: 'The [(b)(4)] filling line is not designed to permit viewing from windows or cameras from outside of the aseptic gowning areas. Entry records show QA is not providing routine oversight during filling operations.' So the site runs at least two filling lines for US market product, one of them described by FDA in aseptic-processing terms, and nothing in this screen ties ANDA 202747 furosemide to either line. That is the row's own falsifier being approached, and it undercuts the bridging premise both surviving lines need. How rule 6 is applied here, recorded rather than resolved by preference: the 483 contradicts the bridging premise, not the determination, because it does not name furosemide. A reviewer who reads it as contradicting the determination should apply method.md rule 6 and move this row to unknown pending resolution. It is held at weakly_inferred rather than unknown only because the counter-signal is at site scope, which is the same limitation that caps the supporting lines. Fill-volume exception clause, required because method.md section 5 item 2 forbids transferring a route between presentations of one manufacturer and fill volume is exactly what thermal penetration turns on. The six Baxter NDCs and Civica 72572-190 are carried in one row as a declared autoclave-load family, on the basis that config/longlist.yaml leaves the furosemide fill unfixed and that all six NDCs carry the identical operation set at the identical establishment. This is an assumption, not a finding.","Any primary document naming aseptic fill for ANDA 202747 drops this to aseptically_filled or, if it names a platform rather than this presentation, to unknown. A showing that the registered STERILIZE operation is component or container sterilization rather than final-container sterilization removes the lead. A showing that ANDA 202747 furosemide is filled on the line the Form 483 describes as having aseptic gowning areas moves this row to aseptically_filled or unknown. A showing that the 10 mL fill is validated on a different cycle or line from the 2 mL fill breaks the declared load family and the row must then be split into three. A later MHRA certificate, supplement or inspection record changing the site scope replaces it at whatever its own evidence supports; the certificate is dated 2024 and a route can change by supplement with no public trace.","Changes no number in the model. At weakly_inferred this row does not set ProductFeatures.sterilization_route; it names the presentation whose route is worth asking a human about first. Furosemide is a protocol 2.5 reserve candidate with no product config. Terminal route on its own removes zero days: the 14-day sterility component falls only when a parametric release program is approved, and RS2-S08 indicates a preceding period of commercial release against completed sterility tests is a precondition of that filing. If both were in place the base pole would fall 16 to 9 days at base, on arithmetic that includes a tier-5 serial QA term.","HA-34, with three now-specific questions: (a) does ANDA 202747 furosemide 10 mg/mL vial receive a validated terminal moist-heat cycle on the sealed vial at Chacharwadi-Vasana; (b) which of the two US-market filling lines named in the 2023 Form FDA 483 fills ANDA 202747 furosemide, and is that line terminally sterilized; (c) does the site operate any aseptic fill line outside the scope of UK GMP 44139"
furosemide_10mgml_vial__other_holders,furosemide 10 mg/mL,"injection, solution","single-dose glass vial, 2 / 4 / 10 mL","Hospira; Fresenius via Phlow; Hikma via Civica; Avet, Maiva and NorthStar; Eugia; Meitheal; Micro Labs; Sagent (8 applications)",NDA 018667; NDA 018902; NDA 018267; ANDA 203428; ANDA 212174; ANDA 212803; ANDA 218188; ANDA 214766,unknown,unknown,no,no determination-bearing document exists for this row. Corpus fetched 2026-09-06; S16 snapshot 2026-09-01,E01-S02; E01-S03; E01-S05; S16; S17; S18; E03-S08; F11-S48,"No route statement in any label for the eight applications above. S16 carries no Review-type row for any of them, and no published chemistry review exists for NDA 018667 or NDA 018902. No STERILIZE operation is registered on any of them. The route determined for ANDA 202747 does not transfer (method.md section 5 item 1). Chemistry only, at tier E6: formulation pH 8.0 to 9.3 [F11-S48] and process patents describing 121 C for 10 to 20 minutes [E03-S08], which is compatibility and not route.","For each holder, an E1 or E2 source, or a UK/EU GMP certificate for the site that label names as manufacturer whose sterile scope resolves to a single category. This is the cheapest remaining evidence move on the longlist and it is unstarted for these eight.","None. Eight of the nine furosemide applications remain unset, so no population-level statement about furosemide route is available and the study cannot treat furosemide as a terminal product in general.",HA-34
acyclovir_sodium_50mgml_vial,acyclovir sodium 50 mg/mL,"injection, solution","single-dose glass vial, 10 or 20 mL; fill not fixed in longlist.yaml",Fresenius Kabi; Slate Run; Eugia; AuroMedics; Zydus (7 manufacturer labels across 6 distinct applications). Hikma ANDA 205771 is a lyophilized powder and a different presentation,ANDA 074930; ANDA 215404; ANDA 218111; ANDA 203701 (Eugia and AuroMedics share this application); ANDA 206535,unknown,unknown,no,"no determination-bearing document exists for this row. Nearest dated document: ANDA 074930 approval package, S16 ApplicationDocs date 1998-05-13. Corpus fetched 2026-09-06",E01-S02; E01-S03; S18; E03-S12; S16,"No route statement in any of 7 manufacturer labels across 6 distinct applications. Count corrected 2026-09-06: Eugia and AuroMedics share ANDA 203701, so the distinct application count is 6 and not 7. No published chemistry review exists, because FDA publishes none for an ANDA. One Review-type row does exist in S16, for ANDA 074930, dated 1998-05-13, resolving to accessdata.fda.gov/drugsatfda_docs/anda/98/74930ap.pdf. It was fetched 2026-09-06 (3,616,837 bytes). It is a scanned approval package whose extractable text is a column of '(b)(4)(CC)' and '(b)(4)(TS)' redaction stamps and signature marks, and it carries no route statement. No STERILIZE operation on any of the seven labels. The only chemistry fact in hand is the label pH of 10.85 to 11.50 [E03-S12], which is a mechanism for alkaline attack on Type I glass above 100 C, not a measurement. This is the least completely searched row in the screen: the frozen S18 snapshot holds 100 of 269 acyclovir SPLs and the manufacturer labels were recovered from live DailyMed pages 2 and 3.","Any 121 C stability study for this formulation, any EU or UK public assessment report for an acyclovir sodium 50 mg/mL solution, or a GMP-certificate join for the named manufacturing sites. Read this row as not searched to exhaustion rather than as hard.",None. Reserve candidate; route stays unset.,HA-34
sterile_water_for_injection_vial,sterile water for injection,"injection, solution",single-dose glass vial; fill not fixed in longlist.yaml,"Hospira; Baxter; B. Braun; ICU Medical; Fresenius and BD; Hikma and Civica; Chartwell and Nephron; Medefil (11 manufacturer labels across 8 distinct applications, vials and flexible containers mixed)",NDA 018801; NDA 018632; NDA 019633; NDA 018233; ANDA 216123; ANDA 206369; ANDA 211222; ANDA 211188,unknown,unknown,no,no determination-bearing document exists for the vial presentation. Corpus fetched 2026-09-06,E01-S02; E01-S05; E03-S01; S18,"No vial label in the corpus carries a route statement, across 11 manufacturer labels and 8 distinct applications. Count corrected 2026-09-06 from 9 applications to 8; the enumeration in evidence_01 section 6 row 5 lists eight distinct numbers. The one route-diagnostic sentence in the whole candidate corpus, 'Some opacity of the plastic due to moisture absorption during the sterilization process may be observed', belongs to 1000 mL flexible containers and not to any vial; see the two adj_swfi rows.","An E1 or E2 source for a vial presentation. Note that the flexible-container determination cannot be carried across to the vial: method.md section 5 item 2 forbids transferring a route between presentations of one manufacturer, and container material is exactly what the moisture sentence turns on.","None. longlist.yaml marks this candidate 'include only if scale can be represented meaningfully', so it carries no product config today.",HA-34
acetazolamide_500mg_vial,acetazolamide sodium 500 mg,"injection, powder, lyophilized, for solution","single-dose glass vial, 500 mg",Avet; Sagent and Gland; Hikma; Mylan; XGen (6 manufacturer labels across 5 applications),ANDA 202693; ANDA 219775; ANDA 040089; ANDA 200880; ANDA 040784,lyophilized,established (freeze-drying only); the aseptic-fill and partial-stoppering attribute the category definition also names is weakly_inferred,no,"label text present in all six current manufacturer SPLs, fetched 2026-09-06; ANDA 200880 approval letter dated 2012-10-09 (S16 ApplicationDocs)",E01-S02; S18; E03-S23; F11-S16; S16,"Tier E2, an affirmative process statement present verbatim in all six manufacturer labels: 'The bulk solution is adjusted to pH 9.6 using sodium hydroxide and, if necessary, hydrochloric acid prior to lyophilization.' Sagent carton text: 'Lyophilized. Sterile, Nonpyrogenic, Preservative-free.' Corroborated by the SPL dosage-form code INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION on five of six. The confidence field is split deliberately. The label establishes freeze-drying and therefore the dosage-form half of the category. The aseptic fill and partial stoppering that method.md's category definition also names rest on FDA's general lyophilization inspection guide [F11-S16], which is tier E5 and reaches only weakly_inferred. Two facts, two confidences, and a downstream consumer must not import the sterilization half at established. S16 carries one Review-type row among these applications, ANDA 200880, dated 2012-10-09, resolving to accessdata.fda.gov/drugsatfda_docs/anda/2012/200880Orig1s000Approv.pdf. Fetched 2026-09-06 (30,271 bytes). It is an approval letter addressed to Sagent Pharmaceuticals as US agent for Sagent Strides LLC, and it carries no route statement. Note that this screen elsewhere attributes ANDA 200880 to Mylan; the approval letter names Sagent Strides, and the discrepancy is recorded, not resolved.","A document showing a holder markets a ready-to-use aqueous acetazolamide solution under the same application opens a new row rather than overturning this one. Narrower falsifier: a showing that the quoted sentence describes the bulk solution rather than the drug product. It does not, because the vial contains the dried cake. The aseptic half is overturned by any document naming a different fill mode for these products.","Confirms the declared out-of-archetype comparator as a measured negative control on the dosage-form half. No terminal route applies by construction, so family 11 does not exist for it and its release vector is longer than the aseptic base, carrying residual moisture and cake inspection on top.",HA-34: proposed closed for this presentation on E2 label text for the freeze-drying half only. Closure requires the HA-34 reviewer to accept method.md section 2's reconciliation of the human-action queue's rule that 'label text is not acceptable: it does not carry the route'. The queue entry at rank 13 still stands open and a note recording this proposed partial closure has been added there. The aseptic-fill half is not proposed closed.
adj_sodium_chloride_0_9_excel__bbraun,"sodium chloride 0.9%, 450 mg in 500 mL","injection, solution (large volume parenteral)","EXCEL flexible plastic container, 500 mL, NDC 0264-7800-10, product code L8001. NOT a longlist presentation",B. Braun Medical Inc.,"not named in the source. The letter identifies the US product by NDC and product code only, so the holder-application half of the method's unit is unfilled","terminally_sterilized_moist_heat, released parametrically",strongly_inferred,no,"2014-08-29 (the Dear Health Care Provider letter's own date). SPL revision 2/2023, version 2, effective time 20230201, which is the date the labelling file was revised and not the date of the document",RS4-S03; E01-S01,"DOWNGRADED 2026-09-06 from established to strongly_inferred, and re-dated from 2023 to 2014. The quote is verbatim and correct. The product comparison table's 'Sterilization Process' row reads, for the German Ecoflac Plus product, 'Terminal Steam Sterilization / Sterility Test (Ph. Eur.) / Sterility Assurance Level of 10 -6' and, for the column headed 'US Product - EXCEL Container', 'Terminal Steam Sterilization / Parametric Release / Sterility Assurance Level of 10 -6' [RS4-S03, DailyMed set id 271e8b0f-d051-48a7-9093-8b53078a6a07, re-fetched 2026-09-06]. Presentation identification, corrected: adjacent rows of that same US column give 'Product Description | 0.9% Sodium Chloride Injection USP', 'Product Code | L8001', 'NDC # | 0264-7800-10', 'Volume | 500 mL', 'Container Type | Excel, Primary plastic container with a clear overwrap (flexible plastic bag)'. The presentation is named in the column, not merely inferred from context, and the container field above now carries it. Why the confidence drops. method.md tier E2 is 'label, SmPC or product monograph text making an affirmative route statement for that presentation', ceiling established. This is not approved labelling. It is a Dear Health Care Provider letter for a temporary importation, filed as an SPL, and DailyMed carries the banner 'Disclaimer: This drug has not been found by FDA to be safe and effective, and this labeling has not been approved by FDA'. The imported product's marketing category is 'Unapproved drug for use in drug shortage', marketing start 08/19/2014 and marketing end 12/31/2020. That places the source at tier E3, the holder's own published technical statement about that presentation, ceiling strongly_inferred. Why the date changes. The letter header reads verbatim 'B. Braun Medical Inc. 824 12th Avenue Bethlehem, PA 18018 610-691-5400 / August 29, 2014 / Subject: Temporary Importation of 0.9% Sodium Chloride w/v Intravenous Infusion in Ecoflac Plus Containers'. 2023-02-01 is the SPL revision stamp, and method.md rule 7 requires the date of the document, not the date the file was revised or read.","A B. Braun or FDA document stating that the US EXCEL sodium chloride presentation is released on a completed sterility test rather than parametrically, or that the table describes a different presentation. A later revision of the letter changing the row. Because the statement is from 2014 and a route can change by supplement with no public trace, a current B. Braun statement supersedes it in either direction.","No model parameter. Decision-relevant as an existence proof in two directions, but weaker than previously written. It is a 2014 holder statement that B. Braun's US EXCEL sodium chloride was terminally steam sterilized and parametrically released. It is contemporaneous with the twelve-firms-as-of-2015 figure [RS2-S08], not newer than it, and the earlier claim that it shows parametric release 'live on a marketed US injectable in 2023' is withdrawn. It also shows the one instance found is a large volume parenteral in a flexible container, the presentation class the study's vial archetype does not represent, which is the same place evidence_04 section 9 item 3 said family 11 was most likely to be found.",none
adj_swfi_viaflex_bulk__baxter_nda018632,sterile water for injection,"injection, solution (pharmacy bulk package)",VIAFLEX flexible plastic container. NOT a longlist presentation,Baxter Healthcare Company,NDA 018632,terminally_sterilized_moist_heat,weakly_inferred,no,"DailyMed set id 210dc9ab-d6ca-4552-ac19-1be17792d290, version 13, document effective time 2016-05-31; re-fetched 2026-09-06",E03-S01; E01-S05; E01-S02,"One line only. Label DESCRIPTION, verbatim: 'Some opacity of the plastic due to moisture absorption during the sterilization process may be observed. This is normal and does not affect the solution quality or safety. The opacity will diminish gradually.' This is coherent only if the sealed, filled container passed through a process involving moisture, so it carries terminality; it does not name the modality and does not say the process was applied post-fill rather than to the container. NDA 018632 also registers a STERILIZE operation, but that is tier E7 in method.md section 3, leads only, and it cannot be counted as a second independent line. Recorded disagreement, resolved by the stricter reading and not by preference: evidence_03 section 2 exported this determination at strongly_inferred; evidence_01 section 3.2 read the same sentence at weakly_inferred. weakly_inferred is taken here because the two supporting lines are not independent and the modality is inferred rather than stated. A correction block has been added at evidence_03 sections 2 and 6 pointing to this row.",A showing that the quoted sentence describes sterilization of the empty container before filling rather than the filled unit drops this to unknown. This is the single fact a reviewer should check first. A second independent primary line naming steam lifts it to strongly_inferred.,"None. Not a longlist presentation and no product config uses a flexible container. Its value is methodological: it is the only case in the corpus where label text alone gets partway to a route, and it does so through a container artefact rather than a process statement.",HA-34
adj_swfi_1000ml_flexible__icu_medical_nda018233,sterile water for injection,"injection, solution","1000 mL flexible plastic container, NDC 0409-7990-09. NOT a longlist presentation","ICU Medical, Inc.",NDA 018233,terminally_sterilized_moist_heat,weakly_inferred,no,"DailyMed set id aab10f03-26ae-4dbc-a481-ef025e48b405, version 9, document effective time 2025-11-02; fetched 2026-09-06",E01-S02; RS5-S02,"Quote added 2026-09-06; the row previously carried a paraphrase and a service-level source id, which breached method.md rule 8. Verbatim from the DIRECTIONS FOR USE section of the ICU Medical Sterile Water for Injection USP 1000 mL flexible plastic container label [RS5-S02]: 'To Open Tear outer wrap at notch and remove solution container. If supplemental medication is desired, follow directions below before preparing for administration. Some opacity of the plastic due to moisture absorption during the sterilization process may be observed. This is normal and does not affect the solution quality or safety. The opacity will diminish gradually.' The same label's HOW SUPPLIED reads 'Sterile Water for Injection, USP is supplied in a single-dose 1000 mL flexible plastic container (NDC 0409-7990-09' and 'Manufactured by ICU Medical, Inc., Lake Forest, Illinois, 60045'. One line, modality inferred, terminality carried by the container artefact. No STERILIZE operation is registered against this application.","As the Baxter row. Additionally, a showing that the sentence is copied boilerplate carried across from a predecessor label rather than a statement about this manufacturer's current process drops it to unknown.","None. Recorded so the two holders are not collapsed into one determination, since method.md's unit is the presentation-holder pair.",HA-34
