strategy_id,name,claim,falsification_test,metric,threshold,data_or_evidence_needed,human_action_id,status,result_pointer
S8,"Acquired registered line, two sites, split API and geography","Buying an already registered, already inspected US aseptic line adds saleable capacity to an approved ANDA materially faster and cheaper than building one, and that speed is worth more than dual sourcing alone.","Paired run against frozen S2 and S4 at n = 100 with matched inventory design variables on the post-R004/R005 engine, both products, common random numbers.","mean fill_rate advantage over S2, and p_meet at the frozen tail requirement, both with paired MCSE",falsified if the fill advantage over S2 is inside the paired MCSE; then this is dual sourcing relabelled,none; in-model run against the frozen comparators,none (in-model),falsified in the model,"results/design_space/ds_post_R008/dominance.csv#S8 and S2, both products; results/simulation/sim_post_R008/summary.json#by_strategy.sodium_bicarbonate_8_4_50ml|S8.fill_rate (0.9404) against |S2 (0.9457): the fill advantage over S2 reverses sign on sodium bicarbonate, and S8 meets the frozen target on neither product while the dual-source control S9 meets it on both"
S8,"Acquired registered line, two sites, split API and geography","The 365-day site-addition lead is a real commissioning advantage over the 730-day build, not an artifact of the measurement boundary.","Re-run the same design at commissioning_days 180, 365 and 730 with the warm-up boundary moved off 365 days, so the measured window is not coincident with the parameter (MD-17).",percent of the measured window lost to commissioning; mean fill_rate at each of the three values,falsified if the fill ordering across 180/365/730 collapses once the warm-up boundary is separated from the parameter grid,"none; in-model, but it requires a protocol change to warm_up_days or a second horizon",none (in-model); MD-17 must be closed first,untested,"results/design_space/ds_post_R008/thresholds.csv#commissioning_days: no crossing in any of the 40 cells over 365 to 1095 d, but the test as written needs the warm-up boundary moved off 365 d; blocked on MD-17 (open)"
S8,"Acquired registered line, two sites, split API and geography",A currently inspected US aseptic fill line can be acquired at a price per unit of annual capacity materially below the 132M USD new-line-and-building anchor (F1-S51) and added to an existing ANDA materially inside 730 days.,Ask three owners of currently inspected US aseptic fill lines for an asking price and a realistic date to add the line to an existing ANDA.,acquisition price per unit of annual saleable capacity; elapsed days from signature to first released commercial batch,"falsified if price per unit of annual capacity is not below the 132M USD anchor, or the date is not materially inside node_commissioning_days (730 d)",asking prices from owners of registered US aseptic lines; a CMC reviewer's reporting-category call on the site addition,HA-13 (extend to acquisition of a registered line); HA-23,untested,"docs/audits/07_human_action_queue.md#HA-13, HA-23"
S9,Dual finished-dose source with an explicit key-starting-material tier,"The engine's assertion that a second API supplier is an independent common-cause group is wrong, because nominally distinct API suppliers draw the same key starting material (F9-S5), and correcting it changes the package's only clearing strategy.","Matched-membership control: run this design twice with the same number of common-cause groups and only the membership changed (shared cc_ksm_api_1 across both arms, against split cc_ksm_api_1 / cc_ksm_api_2). The matched group count removes the extra Poisson hazard that any added group id introduces.","p_meet at the frozen tail requirement, shared arm against split arm, with binomial standard error; common_cause_days as the mechanism check","falsified (tier is irrelevant) if p_meet is unchanged inside its binomial standard error at the run count used; if the shared arm fails where the split arm passes, every dual-sourcing conclusion in the package must be restated. MD-19 (fixed under R007): until 2026-09-03 the supplier arm of a common-cause group was structurally inert, because shipment was gated on capacity > 0 while a group sets its members to 1 - impact, so this test would have measured the site arm only. A supplier at fraction f now ships at most f of one full order per day. Verification-pass run 2026-09-03, post-R007 configuration, sodium bicarbonate, master seed 20260901, n = 25, horizon 2191 d after a 365 d warm-up, no manifest: the shared and split arms of the S9 control still both return fill 0.997733, so the null this test reports is a property of network slack and the 0.1 events per group-year hazard rate, not of the gate, and must be reported that way",none; in-model. The world-side input that would make it decisive is whether the two candidate API suppliers share a key starting material or its country of origin,none (in-model); HA-12 for the supplier-graph half,falsified in the model,"results/design_space/ds_post_R008/thresholds.csv#S9.common_cause_dependence and S9.supplier_concentration = feasible everywhere on both products; results/design_space/ds_post_R008/dominance.csv#S9 feasible with p_meet 1.00 on both: with the shared key-starting-material tier declared, the strategy still clears across the whole recorded dependence range"
S9,Dual finished-dose source with an explicit key-starting-material tier,This architecture is worth its cost: two full quality units and two filings against a product class where 44 percent of shortage injectables price below 5 USD per unit.,Compute contracting.minimum_contracted_utilization at the strategy's own annual cost and compare it against the committed share any purchaser will state.,minimum contracted utilization required to cover fixed plus validation cost,"falsified if the required committed share exceeds 1.0 of saleable capacity, or exceeds what any GPO or IDN will commit in writing",a stated contract price and committed volume for the presentation,HA-24; HA-20,falsified in the model,"results/design_space/contract_conditions_sim_post_R008.csv#S9 through contracting.minimum_contracted_utilization: 1.460 (norepinephrine) and 1.097 (sodium bicarbonate) at an assumed 18.00 USD per unit, both above 1.0 of saleable capacity; the price floor at which the share reaches 1.0 is 25.74 and 19.63 USD per unit"
S10,Split tenancy across two independent multi-product hosts,Splitting the same committed volume across two unaffiliated hosts buys enough independence at the tail to pay for a second full product validation.,"Paired comparison against a single-host control at matched chronic capacity (both add 0.40 nominal-site-equivalents), common random numbers, both products. The control is an internal variant of S10, not a configured sibling strategy: collapse shared_suite_1 and shared_suite_2 into one host in R3 at portfolio_capacity_share 0.4, portfolio_fixed_cost_share 0.4 and validation_multiplier 2.5, keeping central, the suppliers, the group declarations and every design variable identical. The earlier wording named an anchor-tenancy sibling that is configured nowhere in the package, which made this test untestable as written.","p_meet at the frozen tail requirement and cost per delivered unit, split against single host","falsified if p_meet does not improve over the single-host design by more than the paired MCSE; the honest finding is then that the independence premium is not worth its price at these disruption rates. Verification-pass run 2026-09-03, post-R007 configuration, sodium bicarbonate, master seed 20260901, n = 25, horizon 2191 d after a 365 d warm-up, no manifest: two hosts reach fill 0.95507 (MCSE 0.00755) at 18,612,988 USD/yr against the single host's 0.95353 (MCSE 0.00809) at 17,918,556, p_meet 0.16 in both arms, so the service difference is inside MCSE and the second host costs 0.69M USD/yr more. Provisional until re-run inside the Phase D battery with a manifest and at n >= 100 This run predates revision R008 (a site that does not exist at t0 now starts its commissioning and expansion clock at the first measured day) and wrote no manifest, so it is a scoping observation only and no number from it may be quoted quantitatively.",none; in-model,none (in-model),untested,"single-host control is not in the Phase D battery; nearest results/design_space/ds_post_R008/dominance.csv#S10 (feasible on sodium bicarbonate only, dominated by S11 and S16)"
S10,Split tenancy across two independent multi-product hosts,"The independence this design measures comes from site independence, not from the second API source it also carries.",Ablation: move shared_suite_2 back to api_supplier api_1 with group cc_api_1 and re-run at matched capacity.,change in p_meet and mean fill_rate when the second API source is removed but the second site is kept,falsified as a family-6 architecture if the advantage disappears under that change; the mechanism is then family 9 (upstream) and the design should be withdrawn,none; in-model,none (in-model),untested,"second-API-source ablation is not in the Phase D battery; nearest results/design_space/ds_post_R008/thresholds.csv#S10.supplier_concentration (at or below 0.213 per supplier-year on sodium bicarbonate, the tightest supplier condition in the grid)"
S10,Split tenancy across two independent multi-product hosts,A second US host will take a 20 percent tenancy of a full aseptic line for a low-price generic at a price that keeps cost per delivered unit competitive.,Ask CDMO business development at two candidate hosts for a 20 percent tenancy quote for this presentation. Base rate is against it: 11 of about 900 sterile-injectable ANDAs approved 2000-2011 referenced more than one finished-dose facility (F6-S37).,quoted annual tolling cost per unit at 20 percent tenancy; willingness to contract at all,"falsified if no second host will take the tenancy, or only at a price that makes cost per delivered unit worse than the single-host design",CDMO tenancy quotes; no US sterile fill-finish rate card is public (landscape cdmos section 6),HA-13; HA-21,untested,"docs/audits/07_human_action_queue.md#HA-13, HA-21"
S11,Bright-stock campaign offtake with a national undifferentiated reserve,"Holding an undifferentiated (filled, capped, cap-coded, unlabeled) pool and finishing to order beats holding the same units as labelled finished goods.","Capacity-matched control: same reserved_cdmo line and same exercise cadence, but site_fg_days at its low bound, safety_stock_days high, delivery_days 5 (no finish penalty) and region_base_stock 0 (frozen review rule). Run both at n = 100 on the post-R004/R005 engine.","mean fill_rate and p_meet, design against capacity-matched control, with MCSE","falsified if the design does not beat the control by more than the MCSE; the postponement content is then zero and the whole gain is the campaign offtake, which belongs to family 7 or 8","none; in-model. Note MD-15 makes the postponement content zero by construction (one presentation, one market, one labeler), so a null here is the expected result",none (in-model),untested,capacity-matched labelled-finished-goods control is not in the Phase D battery; nearest results/design_space/ds_post_R008/dominance.csv#S11 (cheapest feasible design on both products)
S11,Bright-stock campaign offtake with a national undifferentiated reserve,"A registered US CDMO will sell filled, capped, cap-coded, unlabeled units as bright stock to a third-party labeler under a campaign supply agreement for a shortage generic.","Ask business development at three named US sterile fill-finish CDMOs whether they will sell bright stock to a third-party labeler, at what minimum campaign size, term and reservation fee.",number of CDMOs willing; minimum campaign size; reservation fee per unit of reserved capacity,falsified if two of three say no; the sweep found no instance of this being sold for US shortage generics (F5 section 9),"CDMO business-development answers; no public US sterile fill-finish rate card, minimum order value or reservation fee exists",HA-13; HA-21,untested,"docs/audits/07_human_action_queue.md#HA-13, HA-21"
S11,Bright-stock campaign offtake with a national undifferentiated reserve,"Adding Telo's labeling and secondary-packaging site to the application is the minor change FDA's 2004 guidance describes (F5-S14), not a CBE-30 or a prior approval supplement.",A qualified generic-drug CMC regulatory professional states the reporting category for adding a third-party labeling and secondary-packaging site to the approved application for this presentation (gate G07).,reporting category (annual report / CBE-0 / CBE-30 / PAS) and expected elapsed days,falsified if the category is CBE-30 or a prior approval supplement; the regulatory advantage that makes the offtake cheap then disappears and the design collapses to S3 with a longer lead,a professional regulatory opinion; FDA publishes no per-product reporting-category determinations,HA-23; HA-31,untested,"docs/audits/07_human_action_queue.md#HA-23, HA-31; gate G07 in config/regulatory_gates.yaml"
S12,Contracted registered-capacity supply base,"A contracted network of registered third-party lines reaches frozen S2's service at lower annual cost, so contracting beats owning a second source.","Run against frozen S2 under matched design variables on the post-R004/R005 battery, both products, n = 100.",p_meet at the frozen tail requirement and annual_total_cost,falsified if it does not reach S2's p_meet at a lower annual cost for both products; it then adds nothing over dual sourcing and is dropped,none; in-model. Cost comparison is not quotable until the engine can express site ownership independently of the reserved flag (see engine gaps),none (in-model),supported by the model under illustrative inputs,"results/design_space/ds_post_R008/dominance.csv#S12 against S2: p_meet 0.90 at 18.46M against 0.75 at 34.08M USD/yr (norepinephrine) and 0.95 at 22.40M against 0.00 at 35.48M (sodium bicarbonate), so it reaches S2 service at lower annual cost on both; the equal-design paired run results/simulation/sim_post_R008/summary.json#by_strategy does not separate them on norepinephrine"
