req_id,source_ref,requirement,category,existing_implementation,gap,planned_module,verification_test,evidence_dependency,status,human_required
R001,protocol 1.1,Decision owner and decision (advance/redesign/stop) defined before data collection,protocol,protocol/protocol.yaml decision block,none,protocol/protocol.yaml,tests/unit/test_provenance.py::test_protocol_loads_and_is_frozen,none,exists,no
R002,protocol 1.1,"Freeze protocol, source snapshot, candidate list, analysis version before final run",protocol,protocol.yaml status=frozen; revisions.csv; snapshot manifests,founder sign-off on R000-R002 pending,protocol/revisions.csv,reporting.finished_status DF01,none,partial,yes: sign-off
R003,protocol 1.2,Unit of analysis is an exact presentation-pathway-network architecture,protocol,schemas.ProductPresentation with fixed strength/form/route/container/fill,none,schemas.py,test_schemas.py::test_out_of_archetype_product_needs_explicit_flag,none,exists,no
R004,protocol 1.3,Hypotheses H1-H8 pre-specified and falsifiable with refutation conditions,protocol,protocol/hypotheses.yaml,status moves only via evidence_runs,protocol/hypotheses.yaml; reporting.py,test (planned) hypothesis status cannot change without a manifest,simulation results,partial,no
R005,protocol 1.4,Six kill criteria K1-K6 encoded and evaluated,protocol,protocol.yaml kill_criteria,evaluation logic not yet wired to results,reporting.py (decision classification),tests/integration/test_decision_rules.py (planned),simulation results,partial,no
R006,protocol 2.1,First archetype boundary enforced; excluded modalities only as labeled comparators,product-selection,schemas.ProductPresentation.archetype_fit; longlist flags,none,schemas.py; product_selection.py,test_product_selection.py::test_lyophilized_candidate_fails_manufacturing_gate,none,exists,no
R007,protocol 2.2 step 1,Dated longlist of >= 5 exact presentations from frozen FDA/ASHP snapshots incl. one resolved comparator,product-selection,config/longlist.yaml (6) + 41 frozen snapshots 2026-09-01/02,ASHP snapshot is a human task; presentation fixed for 3 of 6 only,product_selection.py,test_product_selection.py::test_longlist_loads_with_at_least_five,S01 S01B S18 S21(human),partial,yes: ASHP retrieval
R008,protocol 2.2 step 2 / 2.3,Eight hard gates PG1-PG8 evaluated with status and evidence before scoring; FAIL excludes; UNCERTAIN blocks selection,product-selection,product_selection.evaluate_hard_gates,PG5-PG8 stay UNCERTAIN until human evidence,product_selection.py,test_product_selection.py::test_dossier_from_fixture_snapshots,interviews; supplier map; regulatory review,partial,yes
R009,protocol 2.4,Weighted score 20/20/15/15/10/10/10 with per-criterion evidence confidence disagreement uncertainty,product-selection,product_selection.score_candidate; weights from protocol.yaml,4 of 7 criteria expert-pending; workbook provisional scores tier 5 kept separate,product_selection.py,test_product_selection.py (partial score arithmetic),expert scoring (HA-20 HA-21),partial,yes
R010,protocol 2.2 step 4,Select one case with regional relevance and one hard comparator,product-selection,none (selection.json absent by design),selection requires resolved gates and expert scores,product_selection.py; data/product_dossiers/selection.json,reporting DF03,dossiers complete,missing,yes: founder + experts
R011,protocol 2.2 step 5,One hospital pharmacy leader and one sterile-manufacturing expert challenge the selection,product-selection,none,interview infrastructure only,docs/interviews/,reporting DF03 evidence,interviews,missing,yes
R012,protocol 2.5,Machine-readable product dossier per candidate with status access date reasons presentations applicants links,product-selection,data/product_dossiers/<id>/dossier.json + .md (6 built),ASHP fields; applicants from Drugs@FDA sponsors only,product_selection.build_dossier,test_product_selection.py,S01 S16 S17 S18,partial,yes: ASHP
R013,protocol 3 table,Eight architectures S0-S7 represented; S7 separate status-dependent,strategies,protocol.yaml strategies; config/strategies/illustrative_baseline.yaml; schemas.StrategyDesign,simulation-level representation pending,strategies.py; simulation.py,test_configs_and_regulatory.py::test_strategies_load_in_protocol_order; DF05,none,partial,no
R014,protocol 3.1 FC1,Common random numbers so strategies face the same simulated world,simulation,simulation.run_paired + rng.RunStreams; disruptions.generate_world,none,disruptions.py; simulation.py,tests/integration/test_crn_pairing.py (planned),none,exists,no
R015,protocol 3.1 FC2,Same service target: minimize cost s.t. fill-rate and shortage-risk constraints,optimization,optimization.optimize_strategy (grid + coordinate refinement + full-N re-evaluation),search sizes modest until inputs are real,optimization.py,tests/integration/test_optimization.py (planned),simulation,exists,no
R016,protocol 3.1 FC3,Same cost boundary across nine ledgers without double counting,economics,simulation step8_costs across nine ledgers; economics.CostLedger,take-or-pay volume term pending,economics.py; simulation.py,test_economics.py; tests/integration/test_cost_ledger_reconciliation.py (planned),none,partial,no
R017,protocol 3.1 FC4,Same horizon and discounting; commissioning lead time when strategy does not exist at t0,simulation,SiteRuntime.available_from_day (commissioning); capital and fixed accrue from day 0,none,simulation.py,integration test (planned),none,exists,no
R018,protocol 3.1 FC5,Nominal site count is not independent redundancy (common-cause scrutiny),disruption,disruptions common-cause groups; strategies cc_* groups,elicitation of group rates,disruptions.py; network.py,tests/integration/test_extremes.py::perfectly_correlated_sites (planned),expert elicitation of dependence,partial,no
R019,protocol 3.1 FC6,Ineligible strategy excluded not penalized,regulatory,regulatory.evaluate_strategy (EXCLUDED / NO_CONCLUSION),none,regulatory.py,test_configs_and_regulatory.py::test_property_uncertain_never_eligible,none,exists,no
R020,protocol 3.2,Strategy design variables per architecture,optimization,optimization.DESIGN_SPACES per strategy,"bounds are search bounds, not evidence",config/strategies; optimization.py,test (planned) bounds respected,none,exists,no
