revision_id,date,protocol_version,section,change,rationale,decision_relevant,author,approved_by,affected_files
R000,2026-09-01,1.0.0,all,Machine-readable conversion of Telo_Feasibility_Study_Protocol (DOCX sha256 9c0e0a0a...e15dd; PDF 36bf2c08...7f07ea) and workbook v0.1 (sha256 36706951...9be9f8) into protocol/protocol.yaml and protocol/hypotheses.yaml,Protocol must be versioned and frozen before any analysis run (protocol 13.1 item 26),no,Rikhin Kavuru (agent-assisted; see AI_ASSISTANCE.md),pending founder sign-off,protocol/protocol.yaml;protocol/hypotheses.yaml
R001,2026-09-01,1.0.0,service_thresholds,Pre-specified fill_rate_mean_min=0.99 and shortage_day_threshold=0.95 (workbook 05_Assumptions base values) and chose fill_rate_tail_confidence q=0.90 and recovery_window_days=30 which the protocol names but does not fix numerically,Thresholds must be chosen before viewing any result (protocol 10.1); no simulation result existed at this date,yes,Rikhin Kavuru (agent-assisted),pending founder sign-off,protocol/protocol.yaml
R002,2026-09-01,1.0.0,regulatory_gates,Adopted the 15-gate superset from workbook 04_Reg_Gates (covers protocol 4.4's eight rows) as config/regulatory_gates.yaml with default status UNCERTAIN and legal-status labels,Gates must be loaded from configuration and UNCERTAIN must never be treated as PASS,yes,Rikhin Kavuru (agent-assisted),pending founder sign-off,config/regulatory_gates.yaml
R003,2026-09-02,1.0.0,cost_ledger,"Raw-material inventory (API, vial, stopper stock at each site) now carries the global inventory carrying rate on its value (materials cost split equally across the three components); before R003 material stock was free and the material buffer scaled with lead time (model defect MD-1 from the Phase A decomposition)",Protocol 6.1 ledger names inventory carrying cost without excluding raw materials; the omission let the optimizer park material_target_days at its 180-day bound at no cost and made shorter lead times look harmful. S0-S7 events unchanged; annual cost +0.10% to +0.36% on the frozen regression snapshot,yes,Rikhin Kavuru (agent-assisted; session 2),pending founder sign-off,src/telo_feasibility/simulation.py;tests/regression/frozen_digests_s0_s7.json
R004,2026-09-03,1.0.0,comparability; cost_ledger; inventory conventions,"Model-defect fixes from the Phase A decomposition, applied together because they all change the comparison between architectures: (MD-7) capacity above a site's day-zero scale is an expansion and becomes available only after the new global parameter capacity_expansion_days, with the opt-in design variable instant_expansion restoring the previous behaviour; (MD-6) fixed site operations accrue only while a site exists, while capital and validation stay sunk from day zero, and backlog still inside its backorder window at the end of the measured horizon is reported as open_backlog_units_at_horizon rather than counted lost; (MD-4) opening stock is seeded as four shelf-life cohorts spread from one replenishment cycle to full shelf life instead of all at half shelf life; (MD-14) a reserved line Telo does not own carries no annualized capital, fixed operations, or validation, only its reservation fee, with the new design variable reserved_site_owned for a standby line Telo builds","The protocol's fair-comparison rule requires commissioning lead time to be counted for capacity that does not exist at t0, and capacity_factor was exempting expansions from it while new sites paid 730 days. The protocol's cost boundary forbids double counting, and a reserved line was charged as an owned asset and then charged a reservation fee on top. Opening stock stamped at half a 24-month shelf life expired on day 365, the first measured day, which made larger safety stock read as harmful and invalidated the optimizer's safety-stock conclusions. Measured effect on the frozen snapshot: 12 of 32 event digests and 20 of 32 costs change; sodium bicarbonate S4 loses 0.171 fill in run 0 and S3 costs fall about 40%",yes,Rikhin Kavuru (agent-assisted; session 2),pending founder sign-off,src/telo_feasibility/production.py;src/telo_feasibility/strategies.py;src/telo_feasibility/simulation.py;config/global.yaml;tests/regression/frozen_digests_s0_s7.json
R005,2026-09-03,1.0.0,topology; material policy; result reporting,"Non-decision-rule corrections recorded for traceability: (MD-2) the material reorder point covers at least one batch's component draw, so a short lead time no longer stalls the store; (MD-13) regional nodes may exceed the number of regions and are placed round-robin, with a second node in a region sharing that region's geography common-cause group; (MD-9) the capacity-utilization denominator covers every site whose output the numerator counts, with reserved and 503B capacity also reported separately; (MD-10) the Shapley bracket is undefined rather than zero when a factor has no add-one-in arm; (MD-16) p_meet carries its binomial standard error","These change measured quantities without changing a decision rule, but the utilization and bracket errors were being read as results and the node cap silently made a redundancy experiment impossible",no,Rikhin Kavuru (agent-assisted; session 2),pending founder sign-off,src/telo_feasibility/suppliers.py;src/telo_feasibility/strategies.py;src/telo_feasibility/ablation.py
R006,2026-09-03,1.0.0,strategies; regulatory_gates,"Phase D configuration of the design-space architectures. (1) Added config/strategies/design_space.yaml declaring twelve design-space strategies S8-S19 (topology, starting design variables, search bounds and the full StrategyProfile each), selected in rank order from the 42-candidate Phase B sweep by three independent adversarial judges. S0-S7 are untouched and the loader rejects a frozen id in this file. (2) Extended config/regulatory_gates.yaml applies_to_strategies: G01-G07 now list S8-S19 (every design-space site is an owned or contracted approved-CMO site) and G13-G14 now list every design-space strategy except S15 (they replicate manufacture of one product across two or more sites). G08-G12 gain nothing because no design uses a 503B responder site, and G15 gains nothing because every design runs release scenario R0 and claims no release-assurance component. All added rows keep status UNCERTAIN with no reviewer. (3) Added docs/design_space/falsification_register.csv, 33 rows over the twelve strategies, two or three falsifiable claims with pre-declared thresholds each, every row status untested. Every input in the new configuration is tier 5 (illustrative) and nothing in it is a finding.","Protocol 4.4 and the gate machinery make an unmapped strategy return NO_CONCLUSION by omission, which is indistinguishable in a report from NO_CONCLUSION by analysis; a new strategy id must therefore be named in every gate that applies to it before any gated battery runs. Adding a gate can only make a strategy less eligible, never more, so no strategy gains eligibility from this revision and no gate status changes. The strategy set is decision-relevant because Phase E and Phase F rank architectures from it. Two deviations from the instruction are recorded here rather than silently: the revision is numbered R006 because R004 and R005 already exist (2026-09-03), and it is dated 2026-09-03, the day the work was done and the same date those rows carry. Verified after the change: all twelve strategies load through configs.load_design_space_strategies, build through strategies.build_strategy and run through simulation.run_paired for both product dossiers; regulatory.evaluate_all returns NO_CONCLUSION for every id, gates_mapped true for S0-S19 and false for S20, the only free id left.",yes,Rikhin Kavuru (agent-assisted; session 2),pending founder sign-off,config/strategies/design_space.yaml;config/regulatory_gates.yaml;docs/design_space/falsification_register.csv;docs/design_space/novel_architectures.md;tests/unit/test_design_space_schema.py
R007,2026-09-03,1.0.0,disruptions; deterministic screen; cost ledger; strategies; regulatory_gates,"Verification-pass corrections to the Phase D configuration and to three engine defects it exposed. ENGINE. (MD-19) A supplier's daily capacity is a fraction, not a switch: shipment used to be gated on capacity > 0, while a common-cause group sets its members to 1 - impact with impact drawn from a Beta of mean 0.5, so a group declared on a supplier could never delay a unit at any parameter value. A supplier at fraction f now ships at most f of one full order per day, the same proportional time stretch a degraded production line already applied. (MD-20) The deterministic screen dropped every reserved site from saleable capacity and charged no reservation fee for a declared topology, so S11, S13, S16, S17 and S19 screened byte-identical to S0; a reserved line now contributes its exercise duty cycle to capacity and its reservation fee plus take-or-pay to cost, and cmd_deterministic, ablation and backcast were switched from load_strategies to load_all_strategies so Phase D's screening and ablation batteries see S8-S19 at all. (MD-21) The reservation fee and the take-or-pay commitment now accrue only while the reserved site exists, extending the R005 rule for fixed site operations. CONFIGURATION (config/strategies/design_space.yaml). cc_stopper_1 is declared on every site plan of all twelve designs (every site draws stopper_1 and no design declared any container-closure group); cc_geo_<region_id> is declared on every site plan in its region, one convention instead of five; cc_quality is added to S9, S10, S11, S14 and S19, each of which omitted it on a separate-legal-entities or own-registration rationale while its own regulatory_owner placed every site under one application whose holder's quality unit performs the non-delegable disposition; take_or_pay_fraction is removed from the S11 and S13 search blocks and replaced by a variable with a service channel, because it enters only the cost ledger and a cost-minimising optimizer removes it (MD-24); the inert design variable sites: 2.0 is deleted from S11; S10's falsification test is restated as an internal single-host control, because the anchor-tenancy sibling it named is configured nowhere. GATES. Added G16 (component and container-closure lot qualification under 21 CFR 211.84 and 211.94, plus the Type II DMF letter of authorisation the alternate API source must issue, F9-S12), status UNCERTAIN, no reviewer, applying to S9, S18 and S19. DOCUMENTATION. MD-19 to MD-25 added to bottleneck_decomposition.md section 7; two dangling source ids corrected in novel_architectures.md (LCDM-S07 -> LCDM-S7, LCDM-S02 -> LCDM-S2); the Emergent capacity-reservation attribution corrected in novel_architectures.md and landscape/cdmos.md (F7-S04 is the CIADM task order, and the CIADM site is not the Camden merchant fill-finish site that was sold); a Phlow profitability note in morphological_matrix.csv given its actual source (LNPM-S09) and its forward-looking qualifier restored; pre-R004 vintage labels added to eight run-derived cells in morphological_matrix.csv and to the Phase A cost shares carried into novel_architectures.md; every unregistered scoping number in novel_architectures.md marked at its point of use; falsification_register.csv row count corrected in R006's own text and the S14 Leiters row restated as indirect counter-evidence with the caveat its source carries.","Three of the corrections are prohibition-level. Declaring cc_quality where one quality unit disposes batches from several sites is required by the rule that nominally separate sites share the common-cause groups they really share; five designs asserted independence their own regulatory-owner field denied. Declaring cc_stopper_1 removes a shared hazard that was absent from all twelve tails while four designs described it in prose. The deterministic screen was publishing contracted-capacity architectures as though they were the status quo, which is a hidden-tail-risk and a cost-boundary error at once. The remaining items are comparability and traceability: group count is not neutral because every declared group draws its own Poisson stream, so one convention had to replace five; and a numeric claim without a vintage or a manifest cannot be traced to a configuration and a seed. Measured effects. Frozen S0-S7 service is unchanged: no event digest and no fill rate moves, because the supplier fix behaves exactly as before at full and at zero capacity and S3's reserved line exists at t0. Twelve of the thirty-two frozen costs move, the largest by 8.6e-7 relative (S0 norepinephrine run 1, 12,469,383.06 -> 12,469,376.48 USD/yr), because a partly shipped order spends a day in transit rather than in stock and the material carrying-cost integral moves with it; tests/regression/frozen_digests_s0_s7.json was re-captured with the pre-R007 values kept in each entry. On the deterministic screen, sodium bicarbonate now separates the contracted designs from S0 (utilization 1.105 for S11, 1.148 for S16, 0.993 for S17 and 1.194 for S19 against S0's 1.245, with reservation cost 2.13M, 4.85M, 4.68M and 2.95M USD/yr). Every stochastic run of S8-S19 made before 2026-09-03 is superseded, because the group counts changed. Two measurements recorded from the pass itself, both n = 25 paired on sodium bicarbonate: the S16 exercise ablation moves fill +0.00163, inside its own MCSE of 0.0036, while the same ablation on S17 moves +0.01070 with p_meet 0.92 -> 0.48 (MD-23); and S9's matched-membership control returns 0.997733 in both arms after the MD-19 fix, so that null is a property of network slack and the hazard rate rather than of the gate. Adding gate G16 can only make a strategy less eligible, never more, and no gate status changes.",yes,Rikhin Kavuru (agent-assisted; session 2),pending founder sign-off,src/telo_feasibility/suppliers.py;src/telo_feasibility/deterministic.py;src/telo_feasibility/simulation.py;src/telo_feasibility/cli.py;src/telo_feasibility/ablation.py;src/telo_feasibility/backcast.py;config/strategies/design_space.yaml;config/regulatory_gates.yaml;docs/design_space/bottleneck_decomposition.md;docs/design_space/novel_architectures.md;docs/design_space/architecture_taxonomy.md;docs/design_space/morphological_matrix.csv;docs/design_space/falsification_register.csv;docs/design_space/landscape/cdmos.md;docs/audits/04_requirements_matrix.csv;tests/integration/test_model_defect_fixes.py;tests/unit/test_provenance.py;tests/regression/frozen_digests_s0_s7.json;tests/regression/test_frozen_strategies.py
R008,2026-09-03,1.0.0,comparability; commissioning clock,"Model defect MD-17 (renumbered from R006, which the design-space configuration stage had already taken). A site that does not exist at t0 now starts its commissioning clock at the first measured day (SimSettings.commissioning_from_measurement_start, default true) instead of at simulation day zero, and capacity_expansion_days moves from 365 to 270 days. Every run now reports capacity_days_lost_to_commissioning_fraction, the capacity-weighted share of the measured window during which a durable site did not exist.","Three commissioning-family parameters (capacity_expansion_days 365, second_source_qualification_days 365, and the low bound of node_commissioning_days 365) coincided with warm_up_days 365, so any lead time at or below a year was served entirely by the warm-up period and cost nothing inside the window the metrics cover. The R004 expansion lever was therefore inert at its own base. Measured effect on sodium bicarbonate at the baseline designs, one run at seed 20260901: S2 window loss 0.000 to 0.100 and fill 0.990 to 0.917, S4 0.100 to 0.200 and 0.947 to 0.889, S5 and S6 0.144 to 0.287 and 0.912 to 0.857. The strategy that benefited most from the artifact was dual sourcing, which is the one the session-1 threshold sensitivity had found feasible.",yes,Rikhin Kavuru (agent-assisted; session 2),pending founder sign-off,src/telo_feasibility/simulation.py;src/telo_feasibility/strategies.py;config/global.yaml;tests/regression/frozen_digests_s0_s7.json
R009,2026-09-05,1.0.0,cost_ledger; inventory conventions,"Model defect NEW-1. Opening inventory is purchased, not inherited: the units seeded at every region and site on day zero are charged once at the same unit value production pays (variable materials plus conversion) into a new CostLedger field opening_inventory, and the ledger horizon scaling spreads the lump across the measured window. The carrying cost of that position is not added, because inventory_logistics already values the whole book including these lots and charging it twice would double count.","A feasibility study asking whether to build a network must pay for the position it starts with. Opening stock was free and its quantity scaled with the design own stock policy, so a design whose optimum is a year of safety stock was handed that year for nothing. On sodium bicarbonate the opening position covers about five years of the network structural capacity gap inside a five-year window, so no comparison between a deep-stock design and a capacity design was sound.",yes,Rikhin Kavuru (agent-assisted; session 2),pending founder sign-off,src/telo_feasibility/economics.py;src/telo_feasibility/simulation.py;scripts/build_contract_table.py
