claim_id,claim_text,where_stated,audience,evidence_status,evidence_pointer,allowed_external_wording,owner,last_checked
C001,654 pharmaceutical tablets measured on two spectrometers,telo-web/src/app/research/page.jsx:187; telo-web/src/data/research.js:9; research/conformal/data_tablet.py:3; research/conformal/README.md@HEAD:78 (public),public web,contradicted (count),"data/tablet.mat holds 155+460+40=655 (docs/audits/03_conformal_reproduction_audit.md section 2); experiments index 155 calibration + 460 test = 615 (multisite_summary.json benchmark_exchangeability.calibration.n=155, .test.n=460); Eigenvector page says 654; docs/design_space/public_claims_corrections.md C001","615 tablets (155 calibration, 460 test) from the IDRC 2002 NIR shootout, each measured on two spectrometers; a further 40-tablet validation file ships with the data and is unused",Rikhin Kavuru,2026-09-02
C002,R2 declines from ~0.88 to ~0.05 on the second instrument,"research/conformal/README.md:317-325 (working tree), @HEAD:85 (public); page.jsx:204; research.js:61",public web,supported with caveat,"tablet_summary.json instruments.home.r2=0.8772; instruments.shift.r2=0.0463 (mean over 200 seeds; per-seed range -4.62..0.855; bootstrap 95% CI [-0.10,0.18] from 03 audit section 3); docs/design_space/public_claims_corrections.md C002",mean R2 fell from 0.88 to 0.05 (95% CI -0.10 to 0.18) on the second instrument,Rikhin Kavuru,2026-09-02
C003,nominal coverage declines from ~91% to ~42%,"README.md:317-325 (working tree), @HEAD:86; page.jsx:204-205; research.js:62",public web,supported for the stated pipeline; implementation-sensitive,"tablet_summary.json naive_coverage home 0.9142 shift 0.4159 (bootstrap CI [0.371,0.460]); feasibility re-run results/release_assurance/ra_20260902T045127Z/metrics.json metrics.shift.empirical_coverage.mean=0.410 [0.328,0.493] (reproduction mode); ra_20260902T044739Z 0.768 (no per-wavelength standardization); ra_20260902T044654Z 0.717 (CV components); docs/methods/release_benchmark.md:7-13; docs/design_space/public_claims_corrections.md section 2 W2","with the repository pipeline (8 PLS components, per-wavelength standardization) nominal-90% coverage fell from 91% to 42% on the second instrument; a standard pipeline without that standardization fell to 72-77%",Rikhin Kavuru,2026-09-02
C004,58% of batches on the changed instrument would ship with a wrong certificate,"page.jsx:205-206 and Figure 1 caption :209; research.js:63 shiftNaive=58 and :127 v:[9,58]",public web,supported as an interval-miss rate (not an OOS release rate),"tablet_summary.json instruments.shift.misrelease_naive=0.5841 = 1 - naive_coverage 0.4159; denominator 460 x 200 = 92,000 tablet-evaluations; vocabulary note in 03 audit section 4; docs/design_space/public_claims_corrections.md C004","without a gate, 58% of shifted-instrument predictions fell outside their nominal-90% interval (an interval-miss rate, not an out-of-specification release rate)",Rikhin Kavuru,2026-09-02
C005,the Telo layer reduces unconditional wrong-release exposure to ~1% by abstaining on ~98.9% of shifted cases,research/conformal/README.md@HEAD:87 (public: '58% -> ~1% with the gate'); working-tree README:324 says 0.7%,public/GitHub,supported with mandatory caveat; implementation-sensitive,"tablet_summary.json instruments.shift.misrelease_gated=0.00739; shift.release_rate=0.01097 (177 of 200 seeds released nothing); feasibility reproduction ra_20260902T045127Z metrics.shift.unconditional_wrong_release.mean=0.0058 [0.0007,0.0137]; ra_20260902T044739Z 0.046; ra_20260902T044654Z 0.155 with released_fraction 0.561 and conditional_error_among_released 0.290; docs/methods/release_benchmark.md; docs/design_space/public_claims_corrections.md section 2 W1","under the repository pipeline (8 PLS components with per-wavelength standardization) the gate cut interval-miss exposure on the second instrument from 58% to about 0.7% by abstaining on 99% of tablets; under a standard pipeline (cross-validated components, no standardization) it released 56% of shifted tablets with 29% conditional error; in neither case is this release, it is stop-the-line detection",Rikhin Kavuru,2026-09-02
C006,conditional coverage among released cases ~32.6%,task statement; tablet_summary.json,internal,supported with small-denominator caveat; implementation-sensitive,"tablet_summary.json instruments.shift.coverage_on_released=0.3260 over the 23 of 200 seeds that released anything; pooled 308/1009=0.305; bootstrap CI [0.17, 0.50] (03 audit section 3, 5,000 resamples over seeds; audit prose only, not in any JSON); one seed contributed 304 of 1009 releases; feasibility reproduction ra_20260902T045127Z metrics.shift.conditional_error_among_released.mean=0.609 [0.27,0.88] over 7 of 50 seeds; 0.160 (ra_20260902T044739Z) and 0.290 (ra_20260902T044654Z) in the other modes; docs/design_space/public_claims_corrections.md C006","among the few released shifted cases, coverage was about 31-33% (23 of 200 seeds released anything)",Rikhin Kavuru,2026-09-02
C007,the layer holds mis-release near 3%,"telo-web/src/app/research/page.jsx:128-129 and Figure 1 caption :209; research.js:63 shiftGated=3 and :126 telo v:[8,3]; funding/deck/telo-deck.html:463-465 PROOF bars 9/99/3",public web,contradicted on the website (corn number in a tablet figure); supported with caveat on the deck (corn mp6 3.5% rounded down),"no tablet key equals 3%: tablet_summary.json instruments.shift.misrelease_gated=0.0074. Probable origin: corn protein changed sensor mp6, summary.json properties.protein.instruments.mp6.abstain_release_rate 0.0348 x (1 - abstain_coverage_on_released 0.0037) = 0.0347; mp5 = 0.044 x 1.0 = 0.044; home m5 = 0.899 x (1 - 0.912) = 0.079 (the '8' in research.js:126). Deck triple 9/99/3 = corn (naive mp5/mp6 coverage 0.014/0.011). docs/design_space/public_claims_corrections.md C007","tablets: the gate cut interval-miss exposure from 58% to 0.7% by abstaining on 99% of shifted tablets (home: 8.6% ungated, 6.6% gated); corn protein: exposure fell from 99% to 3.5-4.4% on the changed sensors; never mix the two datasets in one figure",Rikhin Kavuru,2026-09-02
C008,Beachhead: norepinephrine (lead) -> epinephrine (flagship) via 503B,"README.md (root, public at HEAD):7 and :25; docs/startup-outline.md:84-85 [V] (public HEAD and working tree); contradicted in-repo by research/beachhead-verification.md, docs/roadmap.md:25, funding/deck/telo-deck.html:348, funding/deck-prompt.md:53, funding/emergent-ventures-proposal.md:33 (all say furosemide)",public GitHub,retracted internally,"research/beachhead-verification.md (2026-07-16) found neither in shortage; scorecard picks furosemide 10 mg/mL; roadmap 2026-07-26 says furosemide shortage is secondary-source only; feasibility S01 FDA shortage export 2026-09-02: norepinephrine 0 rows, furosemide 33 rows since 2020-04-07 (HANDOFF.md section 2); docs/design_space/public_claims_corrections.md C008",beachhead under revision: the original norepinephrine/epinephrine pick was withdrawn after primary-source checks (2026-07-16); furosemide 10 mg/mL is the current candidate pending a primary-source shortage check; candidate presentations are screened in this study,Rikhin Kavuru,2026-09-02
C009,Real-time release replaces a ~2-week lab hold,"README.md (root, public):3; CLAUDE.md:3 (HEAD identical); docs/startup-outline.md:13; page.jsx:120-121 and :142-145 (multi-day hold / waits days; no two-week figure); research.js:28 ('two-week hold') and :47 ('no multi-week hold'); funding/deck/telo-deck.html:264; funding/deck-prompt.md:43; research/conformal/artifact/release-layer.html:164; funding/emergent-ventures-proposal.md:29 (removes the wait; no two-week figure)",public GitHub,contradicted by own analysis,"regulatory/release-constraints.md section 1 (USP <71> sterility >= 14 d in parallel from t=0; chemical tests finish in 5-7 d; chemical RTR saves ~0 days for aseptic injectables) and section 1 line 69 (~7-day EM floor even at zero-day sterility) and section 1a lines 105-117 (rapid sterility is a vendor claim, ~1 business day; EM plates still incubate 5-7 days); feasibility test tests: test_full_release_assurance_saves_no_days_when_sterility_binds; docs/startup-outline.md:41 and :206 already record the correction; docs/design_space/public_claims_corrections.md C009","for aseptically filled injectables, chemical real-time release does not shorten the release hold while the 14-day sterility incubation is the critical path; it shortens the hold for oral solid dose; the candidate value for injectables is an assured beyond-use date and distribution radius, which is unvalidated",Rikhin Kavuru,2026-09-02
C010,FDA-ready / regulator validated / automates release / certifies batches in real time / partnered with,"found 2026-09-02: 'Telo automates the release decision' telo-web/src/app/layout.jsx:7 and src/data/content.js:6; 'certifies pharmaceutical batches in real time' page.jsx:17 and :126; 'Per-batch release in real time' src/components/sections/Engagements.jsx:18; 'FDA-ready', 'regulator validated', 'partnered with': not found",any,contradicted (automates/certifies); forbidden until evidence (the rest),protocol.yaml:495-498 claim_discipline; protocol.yaml:397 current_evidence_boundary; os/quality-intelligence/README.md:335 'Advisory. Not a batch release decision. Release remains the authorised person's.'; docs/design_space/public_claims_corrections.md C010,"in a public-benchmark methods study, our shift detector abstained under instrument drift; prospective product/site validation is the next step (protocol claim_discipline wording)",Rikhin Kavuru,2026-09-02
