dimension,option,what_it_changes_in_the_model,phase_a_mechanism_addressed,prior_art_source_ids,already_implemented_by,regulatory_gate_ids,notes
# PRELIMINARY / ILLUSTRATIVE / NOT FOR EXTERNAL CLAIMS,"banner row, not a design option","nothing in this file is a finding, a recommendation or evidence; every numeric value is tier 5 (illustrative)",not applicable,,not applicable,none,"Prepared 2026-09-02, banner row added 2026-09-03. Cells marked (pre-R004 run) are model outputs from the Phase A ablation abl_20260902_phaseA. Protocol revisions R004 and R005 (2026-09-03) changed the capacity ramp, the cost ledger, the opening-stock cohorts and the reserved-line convention, and R007 (2026-09-03) changed the supplier-capacity gate, the deterministic screen's treatment of reserved capacity and the accrual of reservation fees; every run made before 2026-09-03 is therefore superseded for quantitative use and must be re-run before any figure here is quoted. Companion document: architecture_taxonomy.md."
first product class / archetype,aqueous small-molecule terminally sterilizable vial (e.g. sodium bicarbonate 8.4%),"product dossier sets batch size, shelf life, status_quo_utilization and the release-component vector; permits a parametric-release scenario instead of the 14 d sterility hold",sterility-related delay; release queue; capacity shortfall (through status_quo_utilization),"F11-S01, F11-S02, F11-S44, F11-S31",every LVP and SVP holder that autoclaves; Baxter North Cove,"G03, G04, G06","route is not published per marketed presentation, so the archetype cannot yet be assigned from public data (prior-art review section 7 item 11)"
first product class / archetype,aqueous small-molecule aseptically filled vial (e.g. norepinephrine),keeps the 14 d sterility component as the argmax of the release set; no parametric route available,none (release is not binding); it is the archetype the binding capacity and inventory modes were measured on,"F11-S32, F11-S01, F12-R02",Pfizer/Hospira; Baxter; Hikma,"G03, G04, G06",beachhead verification failed for norepinephrine on 2026-07-16 and the EDA End-to-End project already names it (F13-S24)
first product class / archetype,ready-to-administer premix bag or prefilled syringe,shorter effective shelf life and a different container-closure; changes site_fg_days economics and the BUD schedule,inventory timing; contract insufficiency (a differentiated product can carry a price),"F4-S13, L503B-S29, LSIM-S10, F11-S45",SCA Pharmaceuticals; Fagron; QuVa; Baxter RTU premix,"G06, G11",if made under 503B the at-risk BUD table caps dating at 6/14/28 days (F11-S45)
first product class / archetype,lyophilized small-molecule vial,longer production_cycle_days and a second unit operation; removes terminal sterilization from the option set,none directly; it raises capacity cost per unit,"F12-S32, F6-S26",Fresenius Melrose Park; Hikma; Gland,"G03, G04",WHO QAS/16.682 scores sterile forms as unfavourable for start-up manufacture (F12-S32)
first product class / archetype,concentrate for dilution as the pooled presentation,one upstream SKU serving several downstream presentations; would need a multi-SKU demand model the engine does not have,demand variance; demand covariance (pooling); inventory timing,"F5-S22, F5-S23, F5-S24, F5-S51","the historical default, pushed against for 25 years","G06, G11","Joint Commission and FDA label rules restrict concentrates at the bedside; this is a safety objection, not a modelling one"
first product class / archetype,cytotoxic or high-potency injectable,forces dedicated facilities or HBEL-justified segregation; blocks the shared-portfolio node,none; it raises fixed quality cost and replicated validation cost,"F6-S01, F6-S10, F6-S07, F6-S08",dedicated oncology sterile plants across the industry,"G03, G04",21 CFR 211.42(d) and the beta-lactam guidance make this incompatible with dimension 'product portfolio' options above one family
first product class / archetype,biologic or vaccine drug product,out of archetype for both frozen product dossiers; would require a new dossier set and a cold-chain lane model,not assessed,"F4-S2, F4-S3, F4-S4, F4-S5",Pfizer/BioNTech; Moderna with Lonza and Catalent,"G01, G03",the hub-and-spoke precedent is real but was never at microplant scale
first product class / archetype,"large-volume parenteral or diluent (sterile water, saline)","very high volume, very low unit price; makes annualized capital per unit the dominant cost term",capacity shortfall,"LGOV-S16, LSIM-S10, LSIM-S27",Baxter; B. Braun; DEKA Caspian demonstration units,"G04, G06",the 2024 Helene episode is the documented shortage case; price per unit is lower than the $1.47 vial the readiness question already fails on
customer,hospital pharmacy direct (single health system),ContractTerms purchaser and beneficiary are the same party; committed volume is small relative to a node's capacity,contract insufficiency; inventory timing,"L503B-S01, LSD-S3, F8-S17","QuVa (over 3,000 US hospitals); Leiters; SCA",none,"CMS pays eligible hospitals for a six-month buffer, which funds the buyer's stock and not the maker's readiness (LSD-S3)"
